Name,Price,Rating,Review_count,Availabilty,Link
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,319.00,4.5 out of 5 stars,"2,354 ratings",In stock.,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A02599852KPO7H08VIZ5M&url=%2FWorlds-Greatest-Personal-Growth-Wealth%2Fdp%2F9389432014%2Fref%3Dsr_1_1_sspa%3Fdchild%3D1%26keywords%3Dbooks%26qid%3D1612338311%26sr%3D8-1-spons%26psc%3D1%26smid%3DA3H3WE9M6NY1KV&qualifier=1612338311&id=1888115417853305&widgetName=sp_atf
As A Man Thinketh (Pocket Classics),67.00,4.3 out of 5 stars,135 ratings,In stock.,https://www.amazon.in/gp/slredirect/picassoRedirect.html/ref=pa_sp_atf_aps_sr_pg1_1?ie=UTF8&adId=A020332232MJD03ZCP36F&url=%2FAs-Man-Thinketh-Pocket-Classics%2Fdp%2F9388144392%2Fref%3Dsr_1_2_sspa%3Fdchild%3D1%26keywords%3Dbooks%26qid%3D1612338311%26sr%3D8-2-spons%26psc%3D1&qualifier=1612338311&id=1888115417853305&widgetName=sp_atf
Attitude Is Everything: Change Your Attitude ... Change Your Life!,136.00,4.5 out of 5 stars,"5,590 ratings",In stock.,https://www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071/ref=sr_1_3?dchild=1&keywords=books&qid=1612338311&sr=8-3
Ikigai: The Japanese secret to a long and happy life,306.00,4.6 out of 5 stars,"8,138 ratings",In stock.,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=sr_1_4?dchild=1&keywords=books&qid=1612338311&sr=8-4
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,284.00,4.7 out of 5 stars,"7,679 ratings",In stock.,https://www.amazon.in/Think-Like-Monk-Jay-Shetty/dp/0008386595/ref=sr_1_5?dchild=1&keywords=books&qid=1612338311&sr=8-5
Sapiens: A Brief History of Humankind,440.00,4.6 out of 5 stars,"27,102 ratings",In stock.,https://www.amazon.in/Sapiens-Humankind-Yuval-Noah-Harari/dp/0099590085/ref=sxin_11?ascsubtag=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&creativeASIN=0099590085&cv_ct_cx=books&cv_ct_id=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-gl-ranking&dchild=1&keywords=books&linkCode=oas&pd_rd_i=0099590085&pd_rd_r=b2f8a659-a1a1-44d0-a7de-7cb7ec23d0fc&pd_rd_w=8iuDr&pd_rd_wg=P7xzS&pf_rd_p=9711564d-930f-42d4-810f-a6eff7a95d66&pf_rd_r=AA66J25FJPJ8XAP3ZJZ6&qid=1612338311&sr=1-1-5b72de9d-29e4-4d53-b588-61ea05f598f4&tag=reviewsin-21
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,284.00,4.7 out of 5 stars,"7,679 ratings",In stock.,https://www.amazon.in/Think-Like-Monk-Jay-Shetty/dp/0008386595/ref=sxin_11?ascsubtag=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&creativeASIN=0008386595&cv_ct_cx=books&cv_ct_id=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-gl-ranking&dchild=1&keywords=books&linkCode=oas&pd_rd_i=0008386595&pd_rd_r=b2f8a659-a1a1-44d0-a7de-7cb7ec23d0fc&pd_rd_w=8iuDr&pd_rd_wg=P7xzS&pf_rd_p=9711564d-930f-42d4-810f-a6eff7a95d66&pf_rd_r=AA66J25FJPJ8XAP3ZJZ6&qid=1612338311&sr=1-2-5b72de9d-29e4-4d53-b588-61ea05f598f4&tag=reviewsin-21
Ikigai: The Japanese secret to a long and happy life,306.00,4.6 out of 5 stars,"8,138 ratings",In stock.,https://www.amazon.in/Ikigai-H%C3%A9ctor-Garc%C3%ADa/dp/178633089X/ref=sxin_11?ascsubtag=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&creativeASIN=178633089X&cv_ct_cx=books&cv_ct_id=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-gl-ranking&dchild=1&keywords=books&linkCode=oas&pd_rd_i=178633089X&pd_rd_r=b2f8a659-a1a1-44d0-a7de-7cb7ec23d0fc&pd_rd_w=8iuDr&pd_rd_wg=P7xzS&pf_rd_p=9711564d-930f-42d4-810f-a6eff7a95d66&pf_rd_r=AA66J25FJPJ8XAP3ZJZ6&qid=1612338311&sr=1-3-5b72de9d-29e4-4d53-b588-61ea05f598f4&tag=reviewsin-21
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,319.00,4.5 out of 5 stars,"2,354 ratings",In stock.,https://www.amazon.in/Worlds-Greatest-Personal-Growth-Wealth/dp/9389432014/ref=sxin_11?ascsubtag=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&creativeASIN=9389432014&cv_ct_cx=books&cv_ct_id=amzn1.osa.d86bdecb-3738-49c1-a22c-adddffd65012.A21TJRUUN4KGV.en_IN&cv_ct_pg=search&cv_ct_we=asin&cv_ct_wn=osp-single-source-gl-ranking&dchild=1&keywords=books&linkCode=oas&pd_rd_i=9389432014&pd_rd_r=b2f8a659-a1a1-44d0-a7de-7cb7ec23d0fc&pd_rd_w=8iuDr&pd_rd_wg=P7xzS&pf_rd_p=9711564d-930f-42d4-810f-a6eff7a95d66&pf_rd_r=AA66J25FJPJ8XAP3ZJZ6&qid=1612338311&sr=1-4-5b72de9d-29e4-4d53-b588-61ea05f598f4&tag=reviewsin-21
"NTA UGC NET/JRF/SET Complete General Paper-2021 Updated With Exclusive Charts, Edition-2",425.00,Previous page,,In stock.,https://www.amazon.in/Complete-General-Paper-2021-Updated-Exclusive/dp/B08VJ9YCKL/ref=sr_1_6?dchild=1&keywords=books&qid=1612338311&sr=8-6
